location,link
2023-11-30 02:47:26.223401,none
1580 Richmond,https://offcampus.uwo.ca/Listings/Details/50981
351 Fleming Drive,https://offcampus.uwo.ca/Listings/Details/53769
287 Fleming Drive,https://offcampus.uwo.ca/Listings/Details/53655
287 Fleming Drive,https://offcampus.uwo.ca/Listings/Details/53034
2023-11-30 23:05:39.481955,none
2023-12-02 08:43:52.518603,none
699 Talbot,https://offcampus.uwo.ca/Listings/Details/53924
2023-12-05 09:21:45.417305,none
2023-12-06 09:51:08.598558,none
2023-12-08 06:21:54.396751,none
2023-12-10 18:33:46.996407,none
2023-12-10 22:20:30.960519,none
2023-12-17 22:09:59.641470,none
2023-12-17 22:12:58.638868,none
2023-12-17 22:13:58.710586,none
2023-12-17 22:14:11.253966,none
2023-12-17 22:16:48.884191,none
Mount Pleasant Ave&Wharncliffe Rd N,https://offcampus.uwo.ca/Listings/Details/54076
2023-12-18 23:57:55.333477,none
1635 Richmond St,https://offcampus.uwo.ca/Listings/Details/54082
Chepstow Close&Chepstow Gate,https://offcampus.uwo.ca/Listings/Details/53979
2024-01-05 03:49:35.900055,none
20 Alma St,https://offcampus.uwo.ca/Listings/Details/47103
130 Sherwood Forest Square,https://offcampus.uwo.ca/Listings/Details/43849
130 Sherwood Forest Square,https://offcampus.uwo.ca/Listings/Details/44373
130 Sherwood Forest Square,https://offcampus.uwo.ca/Listings/Details/44374
170 Sherwood Forest Square,https://offcampus.uwo.ca/Listings/Details/48024
170 Sherwood Forest Square,https://offcampus.uwo.ca/Listings/Details/48025
140 Sherwood Forest Square,https://offcampus.uwo.ca/Listings/Details/49189